7zip 24.09-3
freetype2 2.13.3-3
frei0r-plugins 2.3.3-3
fribidi 1.0.16-1
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fwupd 2.0.8-1
fwupd-efi 1.7-1
fzf 0.61.3-1
gamescope 3.16.3-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gegl 0.4.58-1
gettext 0.24.1-1
ghc-libs 9.4.8-1
ghostscript 10.05.1-1
giflib 5.2.2-2
gimp 3.0.2-2
git 2.49.0-1
glew 2.2.0-7
glfw 3.4-2
glib-networking 1:2.80.1-1
glib2 2.84.1-1
glib2-devel 2.84.1-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glslang 15.2.0-2
glu 9.0.3-2
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.2-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
gperftools 2.16-1
gpgme 1.24.2-1
gping 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.12-2
grim 1.4.1-3
groff 1.23.0-7
grub 2:2.12.r283.ga4da71da-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gssdp 1.6.3-2
gst-plugins-bad-libs 1.26.1-1
gst-plugins-base 1.26.1-1
gst-plugins-base-libs 1.26.1-1
gstreamer 1.26.1-1
gtest 1.16.0-2
gtk-layer-shell 0.9.1-1
gtk-update-icon-cache 1:4.18.5-1
gtk2 2.24.33-5
gtk3 1:3.24.49-1
gtk4 1:4.18.5-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.8-2
gupnp-igd 1.6.0-1
gzip 1.14-2
harfbuzz 11.2.0-1
harfbuzz-icu 11.2.0-1
haskell-cereal 0.5.8.3-3
haskell-data-default-class 0.1.2.0-26
haskell-erf 2.0.0.0-26
haskell-knob 0.2.2-50
haskell-math-functions 0.3.4.4-66
haskell-monad-loops 0.4.3-27
haskell-monadprompt 1.0.0.5-8
haskell-monadrandom 0.6.2-6
haskell-primitive 0.8.0.0-13
haskell-random 1.2.1.2-77
haskell-random-fu 0.3.0.1-50
haskell-random-shuffle 0.0.4-207
haskell-regex-base 0.94.0.3-2
haskell-regex-pcre 0.95.0.1-2
haskell-rvar 0.3.0.2-47
haskell-splitmix 0.1.0.5-71
haskell-syb 0.7.2.4-45
haskell-transformers-compat 0.7.2-3
haskell-utf8-string 1.0.2-179
haskell-vector 0.13.1.0-92
haskell-vector-stream 0.1.0.1-3
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.394-1
hwloc 2.12.0-2
hyphen 2.8.8-6
hyprcursor 0.1.12-3
hyprgraphics 0.1.3-4
hyprland 0.48.1-5
hyprland-qt-support 0.1.0-6
hyprland-qtutils 0.1.4-2
hyprlang 0.6.1-2
hyprlock 0.8.2-1
hyprpaper 0.7.4-7
hyprpicker 0.4.5-1
hyprpolkitagent 0.1.2-7
hyprshot 1.3.0-2
hyprutils 0.7.0-1
hyprwayland-scanner 0.4.4-1
iana-etc 20250328-1
icu 76.1-1
ijs 0.35-6
imagemagick 7.1.1.47-2
imath 3.1.12-4
imlib2 1.12.5-1
iniparser 4.2.6-1
intel-ucode 20250211-1
iproute2 6.14.0-1
iptables 1:1.8.11-2
iputils 20240905-1
iso-codes 4.18.0-1
jack2 1.9.22-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.0.1.u9-1
jp2a 1.3.2-1
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 25.04.0-1
karchive 6.13.0-1
kauth 6.13.0-1
kbd 2.7.1-2
kbookmarks 6.13.0-1
kcmutils 6.13.0-1
kcodecs 6.13.0-1
kcolorscheme 6.13.0-1
kcompletion 6.13.0-1
kcompletion5 5.116.0-1
kconfig 6.13.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.13.0-1
kcoreaddons 6.13.0-1
kcoreaddons5 5.116.0-1
kcrash 6.13.0-1
kcrash5 5.116.0-1
kdbusaddons 6.13.0-1
kdenlive 25.04.0-1
kdnssd 6.13.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.13.0-1
kglobalaccel 6.13.0-1
kguiaddons 6.13.0-1
kguiaddons5 5.116.0-1
ki18n 6.13.0-1
ki18n5 5.116.0-1
kiconthemes 6.13.0-1
kidletime 6.13.0-1
kio 6.13.0-2
kio-extras 25.04.0-1
kirigami 6.13.0-1
kitemviews 6.13.0-1
kitemviews5 5.116.0-1
kitty 0.41.1-1
kitty-shell-integration 0.41.1-1
kitty-terminfo 0.41.1-1
kjobwidgets 6.13.0-1
kmod 34.2-1
knewstuff 6.13.0-1
knotifications 6.13.0-1
knotifyconfig 6.13.0-1
kpackage 6.13.0-1
kparts 6.13.0-1
krb5 1.21.3-1
krita 5.2.9-2
kservice 6.13.0-1
ktextwidgets 6.13.0-1
kuserfeedback 6.13.0-1
kwallet 6.13.0-1
kwidgetsaddons 6.13.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.13.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.13.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lcms2 2.17-1
ldb 2:4.22.1-1
ldns 1.8.4-1
leancrypto 1.3.0-1
lensfun 1:0.3.4-5
less 1:668-1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.0.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.13.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.1-1
lib32-fontconfig 2:2.16.2-1
lib32-freetype2 2.13.3-3
lib32-gcc-libs 15.1.1+r7+gf36ec88aa85a-1
lib32-gettext 0.24-1
lib32-glib2 2.84.1-1
lib32-glibc 2.41+r48+g5cb575ca9a3d-1
lib32-harfbuzz 11.2.0-1
lib32-icu 76.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.193-1
lib32-libffi 3.4.8-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.65.0-1
lib32-libnghttp3 1.9.0-1
lib32-libnl 3.11.0-1
lib32-libnm 1.52.0-1
lib32-libnsl 2.0.1-1
lib32-libpcap 1.10.5-2
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.2-1
lib32-libpng 1.6.48-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libusb 1.0.28-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.12-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxcursor 1.2.3-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxkbcommon 1.9.1-1
lib32-libxml2 2.14.2-2
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:25.0.5-1
lib32-ncurses 6.5-1
lib32-nspr 4.36-1
lib32-nss 3.111-1
lib32-nvidia-utils 570.144-1
lib32-opencl-nvidia 570.144-1
lib32-openssl 1:3.5.0-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.7.0-1
lib32-pcre2 10.45-1
lib32-pipewire 1:1.4.2-1
lib32-sdl2-compat 2.32.56-1
lib32-sdl3 3.2.12-1
lib32-spirv-tools 1:1.4.309.0-1
lib32-sqlite 3.49.1-1
lib32-systemd 257.5-1
lib32-util-linux 2.41-1
lib32-vulkan-icd-loader 1.4.309.0-1
lib32-wayland 1.23.1-1
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-5
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libadwaita 1:1.7.2-1
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.9-2
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.2.1-1
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.3.0-1
libblockdev-crypto 3.3.0-1
libblockdev-fs 3.3.0-1
libblockdev-loop 3.3.0-1
libblockdev-mdraid 3.3.0-1
libblockdev-nvme 3.3.0-1
libblockdev-part 3.3.0-1
libblockdev-swap 3.3.0-1
libbluray 1.3.4-3
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libc++ 19.1.7-1
libc++abi 19.1.7-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcbor 0.11.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libclc 19.1.7-1
libcloudproviders 0.3.6-1
libcmis 0.6.2-5
libcolord 1.4.7-2
libcups 2:2.4.12-1
libcurl-gnutls 8.13.0-2
libdaemon 0.14-6
libdatachannel 0.21.2-2
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.15-3
libdecor 0.2.2-1
libdeflate 1.23-1
libdisplay-info 0.2.0-2
libdovi 3.3.1-1
libdrm 2.4.124-1
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-18
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.0-1
libelf 0.193-2
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfdk-aac 2.0.3-1
libffi 3.4.8-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libftdi 1.5-7
libgcrypt 1.11.0-3
libgexiv2 0.14.3-2
libgirepository 1.84.0-1
libglvnd 1.7.0-1
libgme 0.6.4-1
libgpg-error 1.55-1
libgudev 238-1
libheif 1.19.8-1
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.43-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimobiledevice 1.3.0-16
libimobiledevice-glue 1.3.1-1
libinih 58-1
libinput 1.28.1-1
libinstpatch 1.1.6-3
libisl 0.27-1
libixion 0.20.0-2
libjcat 0.2.3-1
libjpeg-turbo 3.1.0-1
libjuice 1.5.2-1
libjxl 0.11.1-3
libkdcraw5 25.04.0-1
libkexiv2 25.04.0-1
libksba 1.6.7-2
liblangtag 0.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.9-1
libliftoff 0.5.0-1
liblqr 0.4.3-1
libluv 1.48.0_2-1
libmad 0.15.1b-10
libmalcontent 0.13.0-1
libmatroska 1.7.1-2
libmbim 1.32.0-1
libmd 1.1.0-2
libmfx 23.2.2-3
libmikmod 3.3.13-1
libmm-glib 1.24.0-1
libmms 0.6.4-5
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.22-1
libmpeg2 0.5.1-10
libmspack 1:1.11-1
libmspub 0.1.4-17
libmtp 1.1.22-1
libmwaw 0.3.22-3
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnatpmp 20230423-3
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-3
libnftnl 1.2.9-1
libnghttp2 1.65.0-1
libnghttp3 1.9.0-1
libngtcp2 1.12.0-1
libnice 0.1.22-1
libnl 3.11.0-1
libnm 1.52.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.6-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.13-1
libodfgen 0.1.8-4
libogg 1.3.5-2
libopenmpt 0.7.13-2
liborcus 0.20.0-2
libp11-kit 0.25.5-1
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.2-1
libplacebo 7.349.0-6
libplist 2.6.0-2
libpng 1.6.48-1
libpng12 1.2.59-2
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libqxp 0.0.2-13
libraqm 0.10.2-1
libraw 0.21.4-1
libraw1394 2.1.2-4
libreoffice-fresh 25.2.3-2
librevenge 0.0.5-3
librsvg 2:2.60.0-2
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsbsms 2.3.0-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsidplayfp 2.13.1-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspiro 1:20240903-1
libspng 0.7.4-2
libsrtp 1:2.7.0-1
libssh 0.11.1-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 2.2.0-2
libsysprof-capture 48.0-5
libtar 1.2.20-7
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.0-1
libtirpc 1.3.6-1
libtommath 1.3.0-1
libtool 2.5.4+r23+g5b582aed-1
libtorrent-rasterbar 1:2.0.11-4
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.1-3
libupnp 1.14.20-2
liburing 2.9-1
libusb 1.0.28-1
libusbmuxd 2.1.0-1
libutempter 1.2.3-1
libutf8proc 2.10.0-1
libuv 1.51.0-1
libva 2.22.0-1
libva-nvidia-driver 0.0.13-1
libvdpau 1.5-3
libverto 0.3.2-5
libvisio 0.1.8-3
libvlc 3.0.21-19
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.15.0-1
libwbclient 2:4.22.1-1
libwebp 1.5.0-1
libwireplumber 0.5.8-1
libwireplumber-4.0-compat 0.4.17-2
libwmf 0.2.13-4
libwpd 0.10.3-5
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.9.1-1
libxkbcommon-x11 1.9.1-1
libxkbfile 1.1.3-1
libxml2 2.14.2-2
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxnvctrl 570.144-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.3-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux 6.14.4.arch1-2
linux-api-headers 6.14-1
linux-firmware 20250408.c1a774f3-1
linux-firmware-whence 20250408.c1a774f3-1
linux-headers 6.14.4.arch1-2
llvm 19.1.7-2
llvm-libs 19.1.7-2
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-1
lsof 4.99.4-1
lua 5.4.7-1
lua51 5.1.5-12
lua51-lpeg 1.1.0-3
luajit 2.1.1741730670-1
luarocks 3.11.1-2
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
mbedtls 3.6.3-1
md4c 0.5.2-1
mdadm 4.4-1
media-player-info 26-1
mesa 1:25.0.5-1
mesa-utils 9.0.0-5
meson 1.8.0-1
minizip 1:1.3.1-2
minizip-ng 4.0.9-1
misfortune 0.1.2.1-80
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mlt 7.30.0-2
mobile-broadband-provider-info 20240407-1
mongo-c-driver 1.30.3-1
mongodb-bin 8.0.4-1
mongodb-compass 1.46.1-1
mongosh-bin 2.5.0-1
mpd 0.24.3-2
mpdecimal 4.0.0-2
mpfr 4.2.2-1
mpg123 1.32.10-1
mpv 1:0.40.0-2
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.6-1
mypaint-brushes1 1.3.1-2
ncurses 6.5-3
neon 0.34.2-1
neovim 0.11.1-2
netpbm 10.86.46-2
netstandard-targeting-pack 9.0.4.sdk105-1
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
nftables 1:1.1.3-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
nmap 7.95-1
nnn 5.1-1
node-gyp 11.2.0-1
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
noise-suppression-for-voice 1.10-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
npm 11.3.0-1
npth 1.8-1
nspr 4.36-1
nss 3.111-1
numactl 2.0.19-1
nvidia-dkms 570.144-3
nvidia-prime 1.0-5
nvidia-prime-select-git 20241219.8fff988-1
nvidia-settings 570.144-1
nvidia-utils 570.144-3
nwg-look 1.0.4-1
obs-studio 31.0.3-1
ocl-icd 2.3.2-2
onetbb 2022.1.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencl-clover-mesa 1:25.0.5-1
opencl-nvidia 570.144-3
opencolorio 2.4.2-1
opencore-amr 0.1.6-2
opencv 4.11.0-9
openexr 3.3.3-1
openjpeg2 2.5.3-1
openresolv 3.16.0-1
openssh 10.0p1-3
openssl 3.5.0-1
opentabletdriver 0.6.5.1-1
opentimelineio 0.17.0-2
openxr 1.1.43-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
ostree 2025.2-2
otf-font-awesome 6.7.2-1
otf-ipaexfont 004.01-5
otf-ipafont 003.03-9
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-mirrorlist 20250503-1
pahole 1:1.30-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
paru 2.0.4-1
paru-debug 2.0.4-1
passim 0.1.10-1
patch 2.8-1
patchelf 0.18.0-3
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
phonon-qt6 4.12.0-4
phonon-qt6-mpv 0.1.0-3
pinentry 1.3.1-5
pipewire 1:1.4.2-1
pipewire-audio 1:1.4.2-1
pipewire-pulse 1:1.4.2-1
pixman 0.46.0-1
pkcs11-helper 1.30.0-1
pkgconf 2.4.3-1
plasma-activities 6.3.4-1
playerctl 2.4.1-4
pnpm 10.10.0-1
pokeget 1.6.4-2
polkit 126-2
polkit-qt6 0.200.0-1
poppler 25.04.0-1
poppler-data 0.4.12-2
poppler-glib 25.04.0-1
poppler-qt6 25.04.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.4-2
portsmf 234-3
procps-ng 4.0.5-3
protobuf 30.2-1
protobuf-c 1.5.2-2
psmisc 23.7-1
pugixml 1.15-2
pureref 2.0.3-3
purpose 6.13.0-1
pwvucontrol 0.4.9-1
pyside6 6.9.0-2
pystring 1.1.4-2
python 3.13.3-1
python-aaf2 1.7.1-3
python-appdirs 1.4.4-11
python-attrs 24.1.0-1
python-autocommand 2.2.2-7
python-automat 22.10.0-7
python-babel 2.15.0-2
python-breathe 4.36.0-1
python-build 1.2.2-3
python-cachecontrol 1:0.14.3-1
python-cachy 0.3.0-11
python-certifi 2025.04.26-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-cheetah3 3.4.0-1
python-cleo 1:2.1.0-1
python-click 8.1.8-1
python-constantly 23.10.4-2
python-crashtest 0.4.1-4
python-cryptography 44.0.2-1
python-dbus 1.4.0-1
python-distlib 0.3.9-2
python-dnspython 1:2.7.0-1
python-docutils 1:0.21.2-3
python-dulwich 0.22.8-1
python-fastjsonschema 2.21.1-1
python-filelock 3.18.0-1
python-findpython 0.6.3-1
python-gobject 3.52.3-3
python-gpgme 1.24.2-1
python-html5lib 1.1-15
python-hyperlink 21.0.0-7
python-idna 3.10-2
python-imagesize 1.4.1-6
python-incremental 22.10.0-7
python-installer 0.7.0-10
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
